日期,股票代码,成交量,换手率,RSI,MACD_DIF,MACD_DEA,MACD_HIST,KDJ_K,KDJ_D,KDJ_J,MACD信号,RSI信号,KDJ信号
2023-06-30,600519,20459,0.16,50.67593208433517,-0.5836290230724899,1.9364466966753322,-2.520075719747822,44.28259602779489,33.67845679634806,65.49087449068855,死叉,中性,中性
2023-07-03,600519,19139,0.15,57.27928385548954,4.0729268469006,2.074284125722124,1.9986427211784763,60.95095871533567,45.48331637958748,91.88624338683206,金叉,中性,超买
2023-07-04,600519,12472,0.1,58.45550524898049,7.350870845861664,2.414709075408546,4.936161770453118,81.56611483581096,62.26655652631384,120.16523145480521,金叉,中性,超买
2023-07-05,600519,14745,0.12,54.660518399744674,6.387272369788207,2.6710034814975563,3.7162688882906503,83.38939870793273,75.30215741969312,99.56388128441193,金叉,中性,超买
2023-07-06,600519,15141,0.12,51.714798750307864,3.595777905882187,2.730666347586887,0.8651115582953,62.293687833410765,75.74973379238482,35.38159591546267,金叉,中性,中性
2023-07-07,600519,15167,0.12,48.759446840009446,-0.10690258387762697,2.547597384266596,-2.654499968144223,31.576575088701574,59.086553876681684,-23.443382487258646,死叉,中性,超卖
2023-07-10,600519,13477,0.11,51.2764168517942,-0.4730978459358539,2.352713821027728,-2.825811666963582,19.666209740240003,37.84549088745078,-16.692352554181554,死叉,中性,超卖
2023-07-11,600519,12583,0.1,53.34265686714335,0.734619759361749,2.2483206557589552,-1.5137008963972063,23.702195800975375,24.98166020997232,21.143266982981487,死叉,中性,中性
2023-07-12,600519,13285,0.11,54.21579728536938,1.9246099828960723,2.227436096219414,-0.30282611332334186,42.12930595385111,28.499237165022162,69.38944353150899,死叉,中性,中性
2023-07-13,600519,25807,0.21,59.49973991803772,6.184325257375576,2.4827192679069086,3.7016059894686677,63.06977303791746,42.967091597581316,103.27513591858974,金叉,中性,超买
